암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4MiQyNjEyMjIjNjEjJDEjJDQjJDgz,(사)대한산업보건협회 부설 한마음의원,의원,경기도,군포시,"경기도 군포시 산본로48번길 8, 3층 (당정동)",일반의,2022-03-17
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ5MiQyNjE0ODEjNTEjJDEjJDIjJDgz,(사)인구보건복지협회경기도지회가족보건의원,의원,경기도,수원시 팔달구,경기도 수원시 팔달구 고화로14번길 11 (매산로3가),일반의,1974-03-08
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,(사)한국건강관리협회건강증진의원,의원,경기도,수원시 장안구,경기도 수원시 장안구 경수대로 857 (조원동),일반의,1983-04-25
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNTEjJDEjJDYjJDgz,(의) 열린의료재단 성남열린의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 수정로 185, 6층 (태평동)",일반의,2008-03-04
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQxMyQzNjEyMjIjNjEjJDEjJDQjJDgz,(의) 열린의료재단 안산열린의원,의원,경기도,안산시 상록구,"경기도 안산시 상록구 용신로 388 (본오동, 유니온프라자 501~505호)",일반의,2010-02-24
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,(의) 열린의료재단 이천열린의원,의원,경기도,이천시,"경기도 이천시 이섭대천로 1440-8, 신세기타운 201,206호 (증포동)",일반의,2012-08-30
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQxMyQyNjE0ODEjNTEjJDEjJDIjJDgz,(의) 열린의료재단 참사랑의원,의원,경기도,수원시 팔달구,"경기도 수원시 팔달구 덕영대로 693, 풍성프라자 7층 (화서동)",일반의,2002-09-05
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ4OSQzNjEyMjIjNjEjJDEjJDgjJDgz,(의)수지의료재단 용인수지병원,병원,경기도,용인시 수지구,"경기도 용인시 수지구 풍덕천로22번길 15, 지하1,지상2~6층 (풍덕천동)",일반의,2016-12-12
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,(의)열린의료재단 분당열린의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 분당로53번길 22, 4층 (서현동, 블루홀빌딩)",일반의,1998-08-05
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4OSQzNjE4MzIjNTEjJDEjJDIjJDgz,(의)열린의료재단광주열린의원,의원,경기도,광주시,"경기도 광주시 광주대로 31, 7층 705~709호 (경안동)",일반의,2010-11-01
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNTEjJDEjJDYjJDgz,(의)영문의료재단 다보스병원,종합병원,경기도,용인시 처인구,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",해당사항없음,2008-12-24
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ4OSQzNjE0ODEjNDEjJDEjJDQjJDgz,(의)유일재단 하나애병원,병원,경기도,용인시 처인구,경기도 용인시 처인구 백옥대로916번길 48 (남동),일반의,2008-04-23
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjEwMDIjNTEjJDEjJDIjJDgz,(의)효심의료재단 용인서울병원,병원,경기도,용인시 처인구,경기도 용인시 처인구 고림로 81 (고림동),일반의,2002-06-12
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ3MiQzNjEyMjIjNTEjJDEjJDIjJDgz,(재)한국산업보건환경연구소부설우리의원,의원,경기도,의정부시,"경기도 의정부시 가능로 9, 수신빌딩 1,2층 (가능동)",일반의,2003-12-03
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz,(재)한국의학연구소 KMI경기의원,의원,경기도,수원시 권선구,"경기도 수원시 권선구 동수원로 232, 센터블스파 1~2층 (권선동)",일반의,1994-04-21
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEyMjIjODEjJDEjJDYjJDgz,(주)녹십자홀딩스부속의원,의원,경기도,용인시 기흥구,"경기도 용인시 기흥구 이현로30번길 107, (주)녹십자 휘트니스센터 1층 (보정동)",일반의,2022-05-02
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,(주)루트로닉부속의원,의원,경기도,고양시 덕양구,"경기도 고양시 덕양구 소원로 219, 1층 102(일부)호 (행신동)",일반의,2019-08-28
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQxMyQzNjE4MzIjNDEjJDEjJDgjJDgz,(홍인의료소비자생활협동조합)우리현대의원,의원,경기도,용인시 처인구,경기도 용인시 처인구 양지면 양지로 137 (우리현대의원),일반의,2015-03-13
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ2MiQzNjE4MzIjNjEjJDEjJDQjJDgz,153연세연합의원,의원,경기도,안양시 만안구,"경기도 안양시 만안구 안양로 142, 3층 (안양동)",일반의,2014-05-01
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQyIyQ5IyQwMCQyNjE4MzIjNzEjJDEjJDgjJDgz,153정형외과의원,의원,경기도,화성시,"경기도 화성시 봉담읍 동화서북안2길 9, 5층",정형외과,2009-10-20
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,21C프라자내과의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 수정로 106, 503호 (수진동)",내과,2007-06-01
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,21세기내과의원,의원,경기도,양주시,"경기도 양주시 고읍남로 6-16 (광사동, 광장프라자 3층)",내과,2010-03-02
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDgjJDgz,21세기미금의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 성남대로 168, 801~803호 (금곡동, 미도프라자)",일반의,2003-04-19
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ2MiQzNjE0ODEjODEjJDEjJDYjJDgz,21세기연세의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 성남대로 345, 7층 701~703호 (정자동, 정자역프라자)",일반의,2011-07-22
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQyIyQxIyQwMCQyNjE4MzIjNTEjJDEjJDYjJDgz,21세기외과의원,의원,경기도,수원시 영통구,경기도 수원시 영통구 중부대로 288 (매탄동),외과,2006-09-07
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,21세기우리의원,의원,경기도,화성시,"경기도 화성시 동탄솔빛로 48, 2,3,4,층 (반송동, 거택프라자)",일반의,2008-02-15
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQzNjEyMjIjNjEjJDEjJDQjJDgz,21세기우리정형외과의원,의원,경기도,화성시,"경기도 화성시 동탄솔빛로 48, 3층 (반송동, 거택프라자)",정형외과,2014-02-11
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjEwMDIjNjEjJDEjJDQjJDgz,21세기의원,의원,경기도,양주시,"경기도 양주시 고읍남로 18 (광사동, 가보프라자 501,502호)",일반의,2011-05-20
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ5OSQzNjE0ODEjNTEjJDEjJDYjJDgz,21세기의원,의원,경기도,안산시 상록구,"경기도 안산시 상록구 샘골로 142 (본오동, 동보프라자)",일반의,2012-02-24
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,21세기의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 돌마로 482, 주영빌딩 2층 (서현동)",일반의,2018-04-03
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ4OSQzNjEwMDIjODEjJDEjJDYjJDgz,21세기정형외과의원,의원,경기도,김포시,"경기도 김포시 양촌읍 양곡로 530, 2층",정형외과,2000-02-01
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ4OSQzNjEwMDIjODEjJDEjJDYjJDgz,21세기정형외과의원,의원,경기도,의정부시,"경기도 의정부시 평화로 323, 3층 (호원동, 홍인프라자)",정형외과,2006-06-07
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ4OSQyNjE0ODEjNTEjJDEjJDIjJDgz,24까페거리의원,의원,경기도,용인시 기흥구,"경기도 용인시 기흥구 죽전로 17, 풍산프라자 602동 6층 2호 (보정동)",일반의,2024-08-23
JDU4MTI3MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNjEjJDEjJDAjJDgz,365 다가온 의원,의원,경기도,의왕시,"경기도 의왕시 계원대학로 7, 롯데마트 2층 (내손동)",일반의,2025-10-28
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQ1IyQ4OSQzNjEyMjIjNDEjJDEjJDQjJDgz,365 속시원한 가정의학과 의원,의원,경기도,안산시 상록구,"경기도 안산시 상록구 도매시장로 32, 2층일부~3층 (이동)",가정의학과,2017-02-20
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQxMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,365 스마트 의원,의원,경기도,안양시 만안구,"경기도 안양시 만안구 냉천로 125, 3-3상가 2층 203~207호 (안양동, 안양어반포레자연앤이편한세상 3단지)",일반의,2025-04-15
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4OSQ0NjE0ODEjODEjJDEjJDYjJDgz,365mc의원,의원,경기도,수원시 팔달구,경기도 수원시 팔달구 권광로 181 (인계동),일반의,2008-04-04
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,365MC의원,의원,경기도,구리시,"경기도 구리시 경춘로 239, 리맥스빌딩 4층 (인창동)",일반의,2008-03-18
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz,365MC의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 서현로210번길 17, 광림플라자 4층 401~402호 (서현동)",일반의,2006-09-19
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNjEjJDEjJDQjJDgz,365건강한부곡의원,의원,경기도,의왕시,경기도 의왕시 부곡중앙남3길 2 (삼동),일반의,2015-08-03
JDU4MTI3MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz,365고려본재활의학과의원,의원,경기도,파주시,"경기도 파주시 해올2길 8, 305호~309호 (다율동)",재활의학과,2025-08-28
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQxMyQyNjE0ODEjNjEjJDEjJDQjJDgz,365굿닥터의원,의원,경기도,하남시,"경기도 하남시 미사강변동로 85, 힐스테이트 에코 미사 3층 309~310, 327~328호 (망월동)",일반의,2023-05-29
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQwMyQyNjE4MzIjNDEjJDEjJDQjJDgz,365그린가족의원,의원,경기도,평택시,"경기도 평택시 지제동삭1로 41, 130동 2층 34, 35호, 1층 15호 (지제동, 지제역 더샵 센트럴시티)",일반의,2023-01-18
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,365내과의원,의원,경기도,수원시 영통구,"경기도 수원시 영통구 봉영로 1569 (영통동, 뉴월드프라자 402,403호)",내과,1995-04-07
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ3MiQzNjEwMDIjNjEjJDEjJDAjJDgz,365늘봄메디칼의원,의원,경기도,군포시,"경기도 군포시 번영로 34, 대흥테라스뷰 203~208호, 301~306호 (부곡동)",일반의,2019-07-12
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNTEjJDEjJDYjJDgz,365다봄의원,의원,경기도,안양시 만안구,"경기도 안양시 만안구 관악대로 54, 401,402,403호 (안양동)",일반의,2024-03-06
JDU4MTI3MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNTEjJDEjJDYjJDgz,365다움의원,의원,경기도,파주시,"경기도 파주시 숲속노을로 128, 401호 (동패동)",일반의,2025-08-26
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEwMDIjNDEjJDEjJDQjJDgz,365드림의원,의원,경기도,안산시 단원구,"경기도 안산시 단원구 선부광장1로 56, 3층 301, 308, 309호 (선부동)",일반의,2015-07-13
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,365드림의원,의원,경기도,광주시,"경기도 광주시 광주대로 35, 황백빌딩 4,7,8층 (경안동)",일반의,2015-07-16
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,365리셋의원,의원,경기도,수원시 팔달구,"경기도 수원시 팔달구 권광로 163, 보성빌딩 5층 (인계동)",일반의,2023-05-15
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,365맑은성모의원,의원,경기도,고양시 덕양구,"경기도 고양시 덕양구 토당로 115, 2층 211호 (토당동, 금호프라자)",일반의,2015-05-29
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQwMyQyNjE0ODEjNjEjJDEjJDgjJDgz,365매일열린의원,의원,경기도,김포시,"경기도 김포시 김포한강9로 109, 2~3층 (구래동)",일반의,2021-01-26
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ4MiQzNjEwMDIjNjEjJDEjJDAjJDgz,365벗이비인후과의원,의원,경기도,부천시 원미구,"경기도 부천시 원미구 길주로 183, 303,307호 (중동, 영라이프빌딩)",이비인후과,2013-08-01
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ5MiQyNjEyMjIjODEjJDEjJDIjJDgz,365삼성i소아청소년과의원,의원,경기도,파주시,"경기도 파주시 교하로 87, 8층 (목동동, 삼성프라자)",소아청소년과,2017-10-18
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQwMyQ0NjE0ODEjNjEjJDEjJDAjJDgz,365서울가정의학과의원,의원,경기도,시흥시,"경기도 시흥시 배곧1로 27-15, 2층 201~202호 (정왕동, 한라비발디캠퍼스)",가정의학과,2018-03-06
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzMxIyQxIyQzIyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz,365서울내과의원,의원,경기도,남양주시,"경기도 남양주시 늘을3로 65-12, 403호 (호평동, 금강프라자)",내과,2005-06-21
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz,365서울바른신경외과의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 수정로 174, 진영빌딩 2층 (신흥동)",신경외과,2020-01-28
JDU4MTI3MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDAjJDgz,365서울베스트정형외과의원,의원,경기도,고양시 덕양구,"경기도 고양시 덕양구 화신로272번길 57, 101, 201호 (화정동)",정형외과,2025-04-17
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,365서울소아청소년과의원,의원,경기도,고양시 덕양구,"경기도 고양시 덕양구 화중로 66-0 (화정동, 롯데마트)",소아청소년과,2012-11-30
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ3MiQyNjE4MzIjNTEjJDEjJDYjJDgz,365소사벌종합의원,의원,경기도,평택시,"경기도 평택시 평남로 951, 디에이치빌딩 101호,201호 (비전동)",일반의,2023-08-01
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQyIyQ1IyQwMCQzNjE4MzIjNDEjJDEjJDgjJDgz,365소아청소년과의원,의원,경기도,여주시,"경기도 여주시 세종로 31, 동부빌딩 204호 (홍문동)",소아청소년과,2018-07-24
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ4OSQyNjEyMjIjNTEjJDEjJDYjJDgz,365소아청소년과의원,의원,경기도,김포시,"경기도 김포시 김포한강4로 113, 503,504호 (장기동, 신한프라자)",소아청소년과,2011-05-13
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjNDEjJDEjJDgjJDgz,365스마트의원,의원,경기도,수원시 장안구,"경기도 수원시 장안구 만석로19번길 25-10 (천천동, 롯데마트)",일반의,2008-11-18
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ4OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,365스마트의원,의원,경기도,이천시,"경기도 이천시 구만리로 191, 4층 (안흥동, 롯데캐슬 골드스카이)",일반의,2019-04-12
JDU4MTI3MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQxMyQyNjE0ODEjNjEjJDEjJDAjJDgz,365아나파본의원,의원,경기도,수원시 권선구,"경기도 수원시 권선구 경수대로 374, 2~4층 (권선동)",일반의,2025-12-23
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ3MiQyNjE0ODEjNzEjJDEjJDgjJDgz,365아이랑소아청소년과의원,의원,경기도,수원시 영통구,"경기도 수원시 영통구 중부대로 604, 1층 (영통동, 수원영통리슈빌스카이오피스텔)",소아청소년과,2018-01-26
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQ5MiQyNjEyMjIjNzEjJDEjJDgjJDgz,365에스와이(SY)서울연세이비인후과의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 서현로210번길 20, 3,4층 305-3,306,402호 (서현동, 코코프라자)",이비인후과,2000-04-24
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ5OSQyNjEwMDIjNzEjJDEjJDgjJDgz,365엠씨(MC)의원,의원,경기도,부천시 원미구,"경기도 부천시 원미구 신흥로 228, 7층 (중동, 메디타워)",일반의,2016-07-04
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQwMyQ0NjE0ODEjNjEjJDEjJDAjJDgz,365엠씨(MC)의원,의원,경기도,안양시 동안구,"경기도 안양시 동안구 시민대로 214, 다운타운빌딩 6층 601호 (호계동)",일반의,2022-11-10
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,365엠씨의원,의원,경기도,고양시 일산동구,"경기도 고양시 일산동구 정발산로 43-20 (장항동, 센트럴프라자 808~809호)",일반의,2007-09-05
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,365연합의원,의원,경기도,평택시,경기도 평택시 송탄로40번길 79-16 (이충동),일반의,2012-07-05
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ4OSQyNjEwMDIjNjEjJDEjJDQjJDgz,365열린메디칼의원,의원,경기도,수원시 권선구,"경기도 수원시 권선구 금곡로 202, e-SPACE CITY-1 (금곡동)",일반의,2017-05-29
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjNjEjJDEjJDgjJDgz,365열린의원,의원,경기도,수원시 권선구,"경기도 수원시 권선구 매송고색로 755, 2층 (고색동, 중앙스포츠랜드)",일반의,2004-09-01
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNjEjJDEjJDAjJDgz,365열린의원,의원,경기도,안산시 상록구,"경기도 안산시 상록구 시낭북로4길 1, 2층 (부곡동)",일반의,2006-04-17
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ4MiQzNjE0ODEjNjEjJDEjJDQjJDgz,365열린의원,의원,경기도,광명시,"경기도 광명시 양지로 16, B1층 56~61호 (일직동, 광명역 써밋플레이스)",일반의,2020-10-14
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz,365용인바른의원,의원,경기도,용인시 처인구,"경기도 용인시 처인구 고림로 140, 2층 (고림동)",일반의,2024-10-29
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,365우리신경외과의원,의원,경기도,구리시,"경기도 구리시 산마루로 24, 신성타워 301,302,304호 (갈매동)",신경외과,2023-04-20
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQzNjEwMDIjNzEjJDEjJDgjJDgz,365위례연세내과의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 위례동로 153, 4층 404호 (창곡동, 에이플타워)",내과,2016-11-15
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ2MiQzNjEwMDIjNDEjJDEjJDgjJDgz,365의원,의원,경기도,부천시 원미구,"경기도 부천시 원미구 소향로 131, 501호 (중동)",일반의,2009-03-10
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQyIyQ3IyQwMCQ0NjEwMDIjNjEjJDEjJDgjJDgz,365이지힐링의원,의원,경기도,시흥시,"경기도 시흥시 산현마을길 58, 청담트윈스2 4층 401,402호 (산현동)",일반의,2022-09-21
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,365일 열린의원,의원,경기도,평택시,"경기도 평택시 경기대로 1511, 1,2,3층 (지산동)",일반의,2025-09-26
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQyIyQ3IyQwMCQzNjE0ODEjNDEjJDEjJDQjJDgz,365잘봄내과의원,의원,경기도,하남시,"경기도 하남시 신평로 45, SN 타워 3층 (신장동)",내과,2020-12-10
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ5MiQyNjEwMDIjODEjJDEjJDIjJDgz,365장곡편한내과의원,의원,경기도,시흥시,"경기도 시흥시 장현장곡로 2, 4층 403~405호 (장곡동)",내과,2022-01-21
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ3MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,365장편한호내과의원,의원,경기도,안산시 상록구,"경기도 안산시 상록구 샘골로 150, 동성빌딩 202,203호 (본오동)",내과,2018-04-20
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ4MiQyNjEyMjIjNDEjJDEjJDQjJDgz,365제이에스JS소아청소년과의원,의원,경기도,시흥시,"경기도 시흥시 장현능곡로 155, 시흥 플랑드르 502호 (능곡동)",소아청소년과,2020-09-23
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQyIyQ1IyQwMCQzNjEwMDIjNTEjJDEjJDIjJDgz,365종합의원,의원,경기도,오산시,"경기도 오산시 경기대로 133, 오렌지팩토리아울렛 1층 (원동)",일반의,2020-07-03
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQzNjEwMDIjNzEjJDEjJDgjJDgz,365키즈소아청소년과의원,의원,경기도,의왕시,"경기도 의왕시 포일로 43, 대림프라자 402, 501호 (내손동)",소아청소년과,2014-02-12
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQxIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,365탁정형외과의원,의원,경기도,시흥시,"경기도 시흥시 서울대학로264번길 44-4, 에스프라자 501~506호 (배곧동)",정형외과,2023-02-14
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,365편한내과의원,의원,경기도,군포시,"경기도 군포시 군포역1길 10, 3층 (당동)",내과,2013-03-19
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQxIyQwMCQyNjEwMDIjODEjJDEjJDYjJDgz,365프렌즈내과의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 위례동로 147, 5층 505호 (창곡동, 위례건아타워)",내과,1992-06-01
